"year","month","ts","time","spi1","spi2","spi3","spi4","spi5","spi6","spi7","spi8","spi9","spi10","spi11","spi12"
1883,8,1883.62,"1883-8-15 00:00:00",-1.03405,0.17111,-0.297672,-0.566481,-1.09651,-1.30474,-1.52794,-1.71972,-1.25839,-0.448075,-0.383589,-0.0419159
1883,9,1883.71,"1883-9-15 00:00:00",0.413321,-0.438231,0.285711,-0.118832,-0.362702,-0.827121,-1.02757,-1.23421,-1.40474,-1.03547,-0.324771,-0.274114
1883,10,1883.79,"1883-10-15 00:00:00",0.36849,0.451006,-0.181952,0.34813,0.00025395,-0.224773,-0.661701,-0.861278,-1.07244,-1.24581,-0.911669,-0.244935
1883,11,1883.88,"1883-11-15 00:00:00",0.472676,0.565308,0.56121,0.022114,0.452412,0.133575,-0.0795387,-0.481725,-0.669006,-0.882221,-1.06304,-0.77946
1883,12,1883.96,"1883-12-15 00:00:00",0.607579,0.682181,0.659776,0.728797,0.263947,0.616525,0.317223,0.113472,-0.280544,-0.467488,-0.690142,-0.854997
1884,1,1884.04,"1884-1-15 00:00:00",0.475824,0.636256,0.737277,0.738215,0.791601,0.375988,0.689842,0.412696,0.217681,-0.158077,-0.346588,-0.571562
1884,2,1884.12,"1884-2-15 00:00:00",-0.55731,-0.108449,0.241921,0.373288,0.434666,0.503472,0.117351,0.461543,0.198454,0.00975103,-0.349639,-0.513726
1884,3,1884.21,"1884-3-15 00:00:00",-0.94415,-1.12708,-0.670128,-0.201806,-0.0197122,0.0761855,0.170736,-0.183038,0.187224,-0.0657767,-0.243803,-0.581633
1884,4,1884.29,"1884-4-15 00:00:00",-0.723199,-1.28035,-1.40857,-0.985239,-0.491567,-0.293449,-0.172151,-0.0627509,-0.404614,-0.00917174,-0.258746,-0.43122
1884,5,1884.38,"1884-5-15 00:00:00",-0.32485,-0.893994,-1.33558,-1.44681,-1.08441,-0.612238,-0.41597,-0.290071,-0.180177,-0.496699,-0.112035,-0.350103
1884,6,1884.46,"1884-6-15 00:00:00",0.221395,-0.139904,-0.598951,-1.05,-1.17347,-0.911075,-0.526142,-0.348519,-0.234218,-0.133696,-0.429718,-0.0777716
1884,7,1884.54,"1884-7-15 00:00:00",0.421952,0.388348,0.127534,-0.239445,-0.646514,-0.836813,-0.63718,-0.348443,-0.206384,-0.113859,-0.0256943,-0.303844
1884,8,1884.62,"1884-8-15 00:00:00",-0.688383,-0.133054,-0.0663083,-0.237093,-0.514235,-0.828501,-0.993298,-0.816851,-0.534873,-0.400048,-0.302033,-0.210756
1884,9,1884.71,"1884-9-15 00:00:00",-0.829972,-1.12273,-0.533618,-0.436254,-0.55885,-0.781644,-1.0412,-1.16173,-0.988045,-0.71476,-0.586893,-0.485527
1884,10,1884.79,"1884-10-15 00:00:00",0.96936,0.282105,-0.173169,0.0372512,0.0672614,-0.0736536,-0.305595,-0.575719,-0.729244,-0.594202,-0.377612,-0.271094
1884,11,1884.88,"1884-11-15 00:00:00",-0.40895,0.487849,-0.0882401,-0.433803,-0.194808,-0.148798,-0.275364,-0.480391,-0.713925,-0.852803,-0.732199,-0.520301
1884,12,1884.96,"1884-12-15 00:00:00",1.03907,0.489932,0.892476,0.476767,0.132905,0.245625,0.265754,0.137815,-0.0754888,-0.321139,-0.482753,-0.371123
1885,1,1885.04,"1885-1-15 00:00:00",-1.5926,0.0124874,-0.326919,0.234626,-0.134566,-0.428562,-0.22854,-0.192001,-0.308198,-0.495203,-0.70133,-0.847739
1885,2,1885.12,"1885-2-15 00:00:00",0.120288,-1.06273,-0.068341,-0.318459,0.190908,-0.146526,-0.415742,-0.234811,-0.205293,-0.321497,-0.498507,-0.691107
1885,3,1885.21,"1885-3-15 00:00:00",0.145267,0.0753545,-0.858756,-0.0256605,-0.275542,0.175166,-0.132738,-0.38497,-0.221143,-0.192056,-0.301027,-0.473814
1885,4,1885.29,"1885-4-15 00:00:00",-0.729156,-0.444053,-0.354208,-1.15908,-0.323108,-0.545972,-0.0759696,-0.366413,-0.606784,-0.418393,-0.385556,-0.489044
1885,5,1885.38,"1885-5-15 00:00:00",0.774235,0.0495268,0.0436661,0.0184946,-0.692827,-0.0476861,-0.268718,0.137567,-0.141395,-0.369122,-0.223192,-0.194031
1885,6,1885.46,"1885-6-15 00:00:00",-0.567456,0.142898,-0.348343,-0.285932,-0.242866,-0.878379,-0.251889,-0.443124,-0.0424222,-0.295101,-0.504034,-0.35662
1885,7,1885.54,"1885-7-15 00:00:00",-0.613117,-0.878227,-0.418107,-0.703925,-0.624626,-0.553801,-1.09606,-0.507124,-0.6712,-0.27951,-0.502571,-0.697365
